dataset_key,license_code,n_observations,dataset_title,doi,gbif_url
623889e6-64a5-41e9-a91f-97c74c903e7d,CC_BY_4_0,1,Projet de passage en installation de stockage de déchets inertes de la carrière de la Coche-Données Faune-Flore - CPIE Loire Anjou - La Coche,10.15468/rkf9hf,https://www.gbif.org/dataset/623889e6-64a5-41e9-a91f-97c74c903e7d
47a47805-6777-4ac5-aa62-c0b998ebefcb,CC_BY_4_0,1,Contrôle terrain espèces protégées-Contact aléatoire tous règnes confondus,10.15468/k2wcd6,https://www.gbif.org/dataset/47a47805-6777-4ac5-aa62-c0b998ebefcb
43027054-3812-4599-b7bc-a01f1df5b071,CC_BY_4_0,1,Données ONF faune-flore-fonge,10.15468/ykstli,https://www.gbif.org/dataset/43027054-3812-4599-b7bc-a01f1df5b071
55598238-9abe-451f-8706-0f620ad7cc28,CC_BY_4_0,1,Projet de Parc éolien du Fief-Sauvin - Données brutes Fief Sauvin,10.15468/ejs7nn,https://www.gbif.org/dataset/55598238-9abe-451f-8706-0f620ad7cc28
566d98f2-e9d4-4ea6-bdc6-fce63f7f53e0,CC_BY_4_0,1,Centrale photovoltaïque au sol sur site dégradé-Centrale photovoltaïque sur sol dégradé,10.15468/qamfcp,https://www.gbif.org/dataset/566d98f2-e9d4-4ea6-bdc6-fce63f7f53e0
acb1265a-7a86-4c14-b6d6-24a847a65504,CC_BY_4_0,1,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de ROMET Martin,10.15468/hv2xvf,https://www.gbif.org/dataset/acb1265a-7a86-4c14-b6d6-24a847a65504
ac7bed85-629a-4687-808f-0e7999e30cde,CC_BY_4_0,1,PROJET D’IMPLANTATION D’UNE CENTRALE PHOTOVOLTAÏQUE AU SOL SUR LA COMMUNE DE CÉRANS-FOULLETOURTE-ADEV-IB VOGT-Données Cérans foulletourte-2021-2022,10.15468/msxnec,https://www.gbif.org/dataset/ac7bed85-629a-4687-808f-0e7999e30cde
abf9b70d-8d79-4444-ba75-7aa8039f55bc,CC_BY_4_0,1,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de Lilian LEONARD,10.15468/juscw0,https://www.gbif.org/dataset/abf9b70d-8d79-4444-ba75-7aa8039f55bc
9a8e206b-9e5f-41da-80db-fa3a7dffade2,CC_BY_4_0,1,N2000 FR5212006 ZPS Champagne de Méron : suivi du site-Observations opportunistes sur le site Natura 2000 : FR5212006 Champagne de Méron - Plaine de Douvy – Butte d’Antoigné (2010-2019),10.15468/myjamg,https://www.gbif.org/dataset/9a8e206b-9e5f-41da-80db-fa3a7dffade2
76b67c05-85de-4541-a2f7-acff7177a673,CC_BY_4_0,1,Expertise IQE - SEDA 2018 - Données Espèces - IQE SEDA 2018,10.15468/43ru43,https://www.gbif.org/dataset/76b67c05-85de-4541-a2f7-acff7177a673
afdefdf5-84da-4bf5-98b2-9b1698788f5a,CC_BY_4_0,1,CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de CALAS Jérome,10.15468/su6dey,https://www.gbif.org/dataset/afdefdf5-84da-4bf5-98b2-9b1698788f5a
da076629-fb18-4558-a9c1-6eaa55d69056,CC_BY_4_0,1,Données LPO Réserves Naturelles Nationales - Données des réserves naturelles nationales gérées par la Ligue pour la protection des oiseaux (LPO),10.15468/wnwf23,https://www.gbif.org/dataset/da076629-fb18-4558-a9c1-6eaa55d69056
d53476e0-c1ed-457f-a7f2-3e27eb40ddcb,CC_BY_4_0,1,Centrale solaire photovoltaïque au sol Champfleuri (IEL EXPLOITATION 17)-Données brutes de biodiversité_Spay,10.15468/xbu3vb,https://www.gbif.org/dataset/d53476e0-c1ed-457f-a7f2-3e27eb40ddcb
